,L1_name,L1_id,L2_name,L2_id,name,id
0,特殊装备,64b8fd16060445419e467f1471e4736d,耳环,fc5842305f53460589c67180a95957a9,悲剧人生的归寂,7904
1,特殊装备,64b8fd16060445419e467f1471e4736d,耳环,fc5842305f53460589c67180a95957a9,命运挑战者,7903
2,特殊装备,64b8fd16060445419e467f1471e4736d,耳环,fc5842305f53460589c67180a95957a9,次元流星坠,7902
3,特殊装备,64b8fd16060445419e467f1471e4736d,耳环,fc5842305f53460589c67180a95957a9,无尽地狱黑暗之印,7901
4,特殊装备,64b8fd16060445419e467f1471e4736d,耳环,fc5842305f53460589c67180a95957a9,电磁能量传送者,7900
5,特殊装备,64b8fd16060445419e467f1471e4736d,耳环,fc5842305f53460589c67180a95957a9,时之矛盾,7899
6,特殊装备,64b8fd16060445419e467f1471e4736d,耳环,fc5842305f53460589c67180a95957a9,宽容之海,7898
7,特殊装备,64b8fd16060445419e467f1471e4736d,耳环,fc5842305f53460589c67180a95957a9,军神的古怪耳环,7897
8,特殊装备,64b8fd16060445419e467f1471e4736d,耳环,fc5842305f53460589c67180a95957a9,无我灵晶,7748
9,特殊装备,64b8fd16060445419e467f1471e4736d,耳环,fc5842305f53460589c67180a95957a9,轮回&middot;腐蚀之黑色十字耳环,7382
10,特殊装备,64b8fd16060445419e467f1471e4736d,耳环,fc5842305f53460589c67180a95957a9,窥视未来耳环,7228
11,特殊装备,64b8fd16060445419e467f1471e4736d,耳环,fc5842305f53460589c67180a95957a9,腐蚀之黑色十字耳环,7024
12,特殊装备,64b8fd16060445419e467f1471e4736d,耳环,fc5842305f53460589c67180a95957a9,圣物:荣耀的恶魔贵族耳环,3667
13,特殊装备,64b8fd16060445419e467f1471e4736d,耳环,fc5842305f53460589c67180a95957a9,铁腕之力耳坠,2609
14,武器,3fce2f34967249d8bde5b86cbdcc1078,幻化武器,511e9dba8c1246e1a3354c225b4b7418,黑刀-暗月,6769
15,武器,3fce2f34967249d8bde5b86cbdcc1078,幻化武器,511e9dba8c1246e1a3354c225b4b7418,蓝色恶魔之眼,6767
16,武器,3fce2f34967249d8bde5b86cbdcc1078,幻化武器,511e9dba8c1246e1a3354c225b4b7418,血雾玫瑰战棍,6771
17,武器,3fce2f34967249d8bde5b86cbdcc1078,幻化武器,511e9dba8c1246e1a3354c225b4b7418,净化之恶魔的奴隶,6770
18,武器,3fce2f34967249d8bde5b86cbdcc1078,幻化武器,511e9dba8c1246e1a3354c225b4b7418,圣物:飓风精灵之骑士长剑,6768
19,武器,3fce2f34967249d8bde5b86cbdcc1078,幻化武器,511e9dba8c1246e1a3354c225b4b7418,落日幻影,6766
20,武器,3fce2f34967249d8bde5b86cbdcc1078,幻化武器,511e9dba8c1246e1a3354c225b4b7418,卡露亚的教导-裂风,6765
21,武器,3fce2f34967249d8bde5b86cbdcc1078,幻化武器,511e9dba8c1246e1a3354c225b4b7418,天选之剑-格朗,6764
22,武器,3fce2f34967249d8bde5b86cbdcc1078,幻化武器,511e9dba8c1246e1a3354c225b4b7418,库兰的焰影剑,6763
23,特殊装备,64b8fd16060445419e467f1471e4736d,辅助装备通用,b98c6889625840a48e2204021051e0fb,失控之怒,7888
