,特殊装备-耳环-悲剧人生的归寂,特殊装备-耳环-悲剧人生的归寂,特殊装备-耳环-悲剧人生的归寂,特殊装备-耳环-命运挑战者,特殊装备-耳环-命运挑战者,特殊装备-耳环-命运挑战者,特殊装备-耳环-次元流星坠,特殊装备-耳环-次元流星坠,特殊装备-耳环-次元流星坠,特殊装备-耳环-无尽地狱黑暗之印,特殊装备-耳环-无尽地狱黑暗之印,特殊装备-耳环-无尽地狱黑暗之印,特殊装备-耳环-电磁能量传送者,特殊装备-耳环-电磁能量传送者,特殊装备-耳环-电磁能量传送者,特殊装备-耳环-时之矛盾,特殊装备-耳环-时之矛盾,特殊装备-耳环-时之矛盾,特殊装备-耳环-宽容之海,特殊装备-耳环-宽容之海,特殊装备-耳环-宽容之海,特殊装备-耳环-军神的古怪耳环,特殊装备-耳环-军神的古怪耳环,特殊装备-耳环-军神的古怪耳环,特殊装备-耳环-无我灵晶,特殊装备-耳环-无我灵晶,特殊装备-耳环-无我灵晶,特殊装备-耳环-窥视未来耳环,特殊装备-耳环-窥视未来耳环,特殊装备-耳环-窥视未来耳环,特殊装备-耳环-腐蚀之黑色十字耳环,特殊装备-耳环-腐蚀之黑色十字耳环,特殊装备-耳环-腐蚀之黑色十字耳环,特殊装备-耳环-圣物:荣耀的恶魔贵族耳环,特殊装备-耳环-圣物:荣耀的恶魔贵族耳环,特殊装备-耳环-圣物:荣耀的恶魔贵族耳环,特殊装备-耳环-铁腕之力耳坠,特殊装备-耳环-铁腕之力耳坠,特殊装备-耳环-铁腕之力耳坠,武器-幻化武器-蓝色恶魔之眼,武器-幻化武器-蓝色恶魔之眼,武器-幻化武器-蓝色恶魔之眼,武器-幻化武器-血雾玫瑰战棍,武器-幻化武器-血雾玫瑰战棍,武器-幻化武器-血雾玫瑰战棍,武器-幻化武器-净化之恶魔的奴隶,武器-幻化武器-净化之恶魔的奴隶,武器-幻化武器-净化之恶魔的奴隶,武器-幻化武器-圣物:飓风精灵之骑士长剑,武器-幻化武器-圣物:飓风精灵之骑士长剑,武器-幻化武器-圣物:飓风精灵之骑士长剑,武器-幻化武器-卡露亚的教导-裂风,武器-幻化武器-卡露亚的教导-裂风,武器-幻化武器-卡露亚的教导-裂风,武器-幻化武器-天选之剑-格朗,武器-幻化武器-天选之剑-格朗,武器-幻化武器-天选之剑-格朗,特殊装备-辅助装备通用-失控之怒,特殊装备-辅助装备通用-失控之怒,特殊装备-辅助装备通用-失控之怒
,低价,平均价,高价,低价,平均价,高价,低价,平均价,高价,低价,平均价,高价,低价,平均价,高价,低价,平均价,高价,低价,平均价,高价,低价,平均价,高价,低价,平均价,高价,低价,平均价,高价,低价,平均价,高价,低价,平均价,高价,低价,平均价,高价,低价,平均价,高价,低价,平均价,高价,低价,平均价,高价,低价,平均价,高价,低价,平均价,高价,低价,平均价,高价,低价,平均价,高价
日期,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.03.25,73606657.0,60659722.0,129800264.0,77927019.0,55227143.0,91127284.0,147171605.0,119000000.0,196888889.0,129659259.0,101200000.0,140913580.0,91698236.0,66745714.0,111181375.0,62892187.0,62464286.0,84412699.0,96469841.0,89669841.0,122175661.0,108044087.0,84428571.0,117299823.0,13690269.0,14416173.0,17069629.0,4063570.0,3950609.0,5253950.0,8063086.0,7540122.0,12993975.0,,,,,,,,,,,,,,,,,,,,,,,,,85940441.0,73284286.0,104653210.0
21.03.26,40931085.0,59004960.0,87096472.0,63712751.0,54646349.0,91582981.0,78197531.0,118277778.0,164320988.0,113090123.0,101200000.0,148918518.0,59876543.0,64413333.0,103721269.0,56259259.0,60682099.0,79537478.0,92852798.0,89669841.0,130941093.0,132607407.0,87269841.0,151920458.0,13229629.0,14143333.0,14648147.0,3976674.0,3979003.0,6725926.0,7768395.0,7626542.0,8981605.0,,,,,,,,,,,,,,,,,,,,,,,,,54697266.0,73166279.0,97953510.0
21.03.27,26641975.0,52825066.0,64242451.0,61827159.0,55403966.0,83926472.0,66598753.0,107555555.0,130246913.0,99083950.0,102301235.0,152830864.0,31567900.0,58461058.0,48860635.0,49564938.0,58309524.0,70140211.0,59226243.0,82088889.0,126941093.0,111479382.0,87719576.0,158213391.0,13377776.0,14143333.0,14553333.0,3736106.0,3979003.0,6150951.0,7524448.0,7663209.0,13735556.0,,,,,,,,,,,,,,,,,,,,,,,,,50720987.0,65404850.0,80522434.0
21.03.28,24306172.0,47120480.0,57510352.0,38555555.0,51761993.0,70481481.0,48468172.0,92969123.0,82182098.0,103754567.0,102167901.0,134404938.0,27522222.0,51452274.0,45872980.0,55196407.0,58309524.0,75303174.0,51790123.0,77125573.0,83273015.0,107715802.0,89449735.0,151849107.0,13424185.0,13985555.0,16470246.0,4076593.0,3932090.0,4642594.0,7713586.0,7663209.0,14045926.0,,,,,,,,,,,,,,,,,,,,,,,,,56056172.0,62182628.0,86203316.0
21.03.29,21000000.0,36397817.0,47643739.0,32644444.0,46156508.0,67580246.0,50134444.0,88222210.0,70354319.0,79922222.0,97965432.0,119627160.0,23361848.0,39249038.0,38677918.0,44008641.0,56578923.0,69730599.0,51666666.0,70655732.0,72840211.0,94504938.0,88465608.0,132403879.0,13003826.0,13538765.0,14368628.0,3987652.0,4019745.0,4788672.0,7747419.0,7673838.0,8612345.0,,,,,,,,,,,,,,,,,,,,,,,,,44282706.0,60515961.0,60132086.0
21.03.30,26595062.0,34854607.0,49814903.0,29975201.0,44556380.0,41186543.0,44869135.0,81598753.0,61796543.0,66698271.0,95928395.0,102741975.0,19648765.0,36613862.0,34730864.0,48807514.0,55141533.0,75172839.0,44944444.0,66322398.0,71667372.0,83439382.0,88465608.0,115687830.0,12261753.0,14015307.0,13806049.0,3841479.0,4023449.0,4586051.0,7967542.0,7657542.0,8366444.0,,,,,,,,,,,,,,,,,,,,,,,,,39575555.0,58168836.0,55097901.0
21.03.31,18766543.0,29686067.0,47251939.0,25748148.0,39260352.0,41122345.0,38888879.0,69444432.0,55912839.0,56672839.0,88032716.0,89635802.0,14559264.0,27379642.0,29765802.0,35360493.0,47857494.0,69756896.0,43702469.0,58459965.0,54207407.0,75879012.0,85416225.0,93320458.0,11750641.0,14015307.0,12580863.0,3882480.0,4023449.0,5773708.0,8025685.0,7743098.0,16827620.0,,,,,,,,,,,,,,,,,,,,,,,,,42414321.0,54761428.0,64228395.0
21.04.01,13752975.0,24928631.0,39754408.0,20884494.0,32865538.0,37492716.0,31014815.0,48828889.0,49619753.0,50185061.0,70085185.0,84110987.0,14317185.0,18360000.0,18465432.0,32016048.0,39401803.0,58430344.0,37110876.0,40472839.0,63765432.0,69777729.0,74859841.0,89483174.0,11781604.0,12375431.0,12973753.0,3983234.0,3912226.0,4299510.0,8020135.0,7853962.0,8877781.0,,,,,,,,,,,,,,,,,,,,,,,,,35620987.0,41908130.0,56049382.0
